contract_id,personnel_id,est_id,ref_date,base_salary_lcu,gross_salary_lcu,net_salary_lcu,contract_type,occupation_native,occupation_english,occupation_isconame,occupation_iscocode,start_date,end_date,whours,paygrade,seniority,country_code,country_name,adm1_name,adm1_code
C000001,W03583,ORG0194,2/28/2024,3785.42,4252.66,4252.66,Permanent,Analyste,Technician,Technicians,2421,8/17/2017,3/2/2027,32.6,P1,16,ZMB,Zambia,Western Province,ZMB03
C000002,W01347,ORG0343,8/9/2024,3332.56,3943.97,3943.97,Short-term,Comptable,Engineer,Technicians,2421,3/4/2023,9/1/2028,30.3,G7,29,ZMB,Zambia,Lusaka Province,ZMB02
C000003,W05219,ORG0141,4/22/2024,3814.12,6319.51,4325.23,Permanent,Analyste,Analyst,Engineers,2411,8/14/2021,6/9/2028,32.8,G5,15,ZMB,Zambia,Central Province,ZMB03
C000004,W07764,ORG0167,8/30/2024,3866.02,5578.12,4679.47,Permanent,Technicien,Accountant,Engineers,2141,4/10/2015,6/3/2024,38.4,P1,29,ZMB,Zambia,Lusaka Province,ZMB02
C000005,W09786,ORG0274,9/29/2023,4324.07,7283.22,3409.88,Open-term,Technicien,Engineer,Analysts,2421,8/18/2023,2/24/2027,41.9,G6,21,ZMB,Zambia,Western Province,ZMB04
C000006,W07383,ORG0098,3/11/2023,4025.27,5444.63,5398.75,Permanent,Analyste,Technician,Accountants,2141,1/4/2020,4/28/2027,42.2,P1,1,ZMB,Zambia,Central Province,ZMB02
C000007,W05858,ORG0452,12/9/2024,3547.25,3923.06,3923.06,Permanent,Analyste,Accountant,Technicians,2141,1/22/2023,6/21/2024,42.1,G7,19,ZMB,Zambia,Lusaka Province,ZMB04
C000008,W00097,ORG0211,7/7/2023,4275.24,6727.81,4266.89,Permanent,Chauffeur,Technician,Analysts,8322,12/1/2023,7/4/2028,44.7,G8,19,ZMB,Zambia,Lusaka Province,ZMB03
C000009,W06258,ORG0271,8/9/2024,4043.03,4699.81,4605.85,Permanent,Chauffeur,Accountant,Engineers,2421,7/11/2021,6/22/2027,41.4,G8,6,ZMB,Zambia,Western Province,ZMB03
C000010,W06783,ORG0175,5/31/2023,4150.92,5292.89,5292.89,Open-term,Chauffeur,Accountant,Engineers,8322,3/9/2023,3/29/2025,42.7,G5,26,ZMB,Zambia,Lusaka Province,ZMB05
C000011,W04144,ORG0487,1/29/2023,4001.4,6576.66,3704.75,Short-term,Ingenieur,Accountant,Analysts,2141,8/25/2016,9/14/2027,41.5,G8,12,ZMB,Zambia,Eastern Province,ZMB05
C000012,W04170,ORG0212,6/13/2023,5006.47,6160.61,5366.92,Short-term,Chauffeur,Analyst,Accountants,8322,12/19/2022,7/19/2024,38.7,G8,4,ZMB,Zambia,Northern Province,ZMB01
C000013,W05665,ORG0402,5/18/2024,3428.79,6851.11,2932.38,Permanent,Technicien,Technician,Accountants,2411,8/9/2016,4/19/2027,45.1,G6,17,ZMB,Zambia,Lusaka Province,ZMB02
C000014,W00943,ORG0084,12/14/2024,4963.93,5667.51,3952.54,Open-term,Chauffeur,Accountant,Drivers,8322,8/2/2019,2/22/2026,35.1,G8,4,ZMB,Zambia,Central Province,ZMB04
C000015,W06369,ORG0205,2/19/2023,4325.51,5639.2,3874.23,Permanent,Technicien,Analyst,Accountants,8322,4/27/2015,10/24/2025,35.3,G8,24,ZMB,Zambia,Central Province,ZMB03
C000016,W00112,ORG0494,4/10/2023,4225.84,5270.87,5270.87,Short-term,Technicien,Technician,Analysts,2141,10/5/2017,2/23/2024,37.7,G7,16,ZMB,Zambia,Northern Province,ZMB05
C000017,W03482,ORG0390,4/28/2024,4721.18,4866.78,4207.24,Permanent,Ingenieur,Driver,Technicians,2141,4/14/2018,7/11/2024,42.6,G6,24,ZMB,Zambia,Eastern Province,ZMB01
C000018,W01364,ORG0429,7/15/2024,3156.45,3825.01,3825.01,Open-term,Comptable,Driver,Accountants,2421,12/29/2020,5/2/2027,50.4,G5,27,ZMB,Zambia,Eastern Province,ZMB03
C000019,W02895,ORG0382,5/21/2023,3719.93,4574.33,4523.58,Short-term,Analyste,Accountant,Engineers,2421,10/10/2021,11/14/2024,38.2,P2,16,ZMB,Zambia,Central Province,ZMB01
C000020,W03326,ORG0002,10/10/2023,5889.3,5889.3,3053.07,Open-term,Chauffeur,Accountant,Accountants,2421,7/10/2015,12/25/2024,44.5,P1,20,ZMB,Zambia,Lusaka Province,ZMB04
C000021,W01093,ORG0070,2/23/2024,4984.28,4984.28,4114.61,Permanent,Chauffeur,Engineer,Engineers,2411,3/11/2022,11/15/2028,42,G8,25,ZMB,Zambia,Western Province,ZMB03
C000022,W07986,ORG0423,10/29/2024,4220.28,6382.59,4753.02,Short-term,Technicien,Accountant,Accountants,8322,5/8/2017,4/29/2028,42.5,P2,11,ZMB,Zambia,Western Province,ZMB05
C000023,W01848,ORG0039,4/30/2023,3537.1,4747.39,3358.41,Open-term,Technicien,Accountant,Analysts,2411,5/4/2020,8/12/2025,45.1,P1,19,ZMB,Zambia,Lusaka Province,ZMB03
C000024,W06485,ORG0355,2/27/2023,4220.13,5736.93,4502.38,Permanent,Ingenieur,Engineer,Drivers,8322,2/22/2022,2/8/2027,43.8,G8,17,ZMB,Zambia,Northern Province,ZMB01
C000025,W00040,ORG0056,6/13/2024,3952.56,5441.6,4350.56,Permanent,Comptable,Technician,Technicians,3115,1/28/2018,2/7/2026,41.5,G7,13,ZMB,Zambia,Central Province,ZMB03
C000026,W01347,ORG0055,9/11/2024,3609.8,4434.06,4400.69,Open-term,Analyste,Driver,Analysts,3115,5/9/2016,1/9/2024,43.6,P1,3,ZMB,Zambia,Eastern Province,ZMB05
C000027,W06741,ORG0116,5/20/2023,5668.23,5668.23,4100.55,Permanent,Chauffeur,Engineer,Accountants,2141,7/16/2023,9/18/2028,40.4,P1,28,ZMB,Zambia,Eastern Province,ZMB05
C000028,W06649,ORG0128,7/9/2024,3650.69,5725.18,4727.55,Open-term,Ingenieur,Technician,Technicians,3115,7/26/2015,2/12/2025,34.6,G7,12,ZMB,Zambia,Western Province,ZMB05
C000029,W06078,ORG0120,8/27/2023,2781.08,4647.04,4647.04,Open-term,Analyste,Accountant,Engineers,2411,12/18/2016,8/18/2027,34.9,P2,8,ZMB,Zambia,Central Province,ZMB03
C000030,W07345,ORG0021,8/18/2023,4098.81,5072.7,5072.7,Short-term,Ingenieur,Technician,Technicians,3115,6/19/2019,10/30/2028,40.3,P2,16,ZMB,Zambia,Northern Province,ZMB04
C000031,W01160,ORG0269,3/5/2024,3912.8,6105.78,3967.97,Short-term,Technicien,Technician,Analysts,2141,9/24/2023,9/20/2025,41.4,G5,28,ZMB,Zambia,Lusaka Province,ZMB01
C000032,W04196,ORG0152,12/29/2023,3458.72,6523.84,4838.15,Short-term,Comptable,Engineer,Drivers,2421,4/29/2020,5/24/2024,38.2,G7,1,ZMB,Zambia,Central Province,ZMB04
C000033,W02429,ORG0224,8/6/2023,4549.46,5555.92,5555.92,Open-term,Analyste,Engineer,Engineers,2141,3/19/2022,4/16/2024,39.8,P1,10,ZMB,Zambia,Northern Province,ZMB04
C000034,W08029,ORG0306,5/8/2024,4203.75,4203.75,3726.6,Permanent,Analyste,Driver,Technicians,3115,4/19/2017,3/25/2024,42.5,G7,14,ZMB,Zambia,Central Province,ZMB01
C000035,W03253,ORG0162,7/3/2024,4949.88,5218.53,4188.9,Permanent,Chauffeur,Driver,Accountants,2421,5/27/2019,6/10/2024,42,G7,14,ZMB,Zambia,Lusaka Province,ZMB01
C000036,W01383,ORG0202,3/3/2023,4361.89,5698.2,4361.69,Open-term,Ingenieur,Analyst,Accountants,3115,11/24/2019,9/19/2026,44.9,P1,5,ZMB,Zambia,Western Province,ZMB01
C000037,W04310,ORG0304,10/22/2024,5948.94,5948.94,3546.71,Permanent,Chauffeur,Analyst,Technicians,2141,10/10/2016,8/14/2026,37,G8,10,ZMB,Zambia,Eastern Province,ZMB01
C000038,W02339,ORG0111,6/30/2024,3341.06,6313.1,5117.35,Short-term,Technicien,Accountant,Technicians,8322,10/4/2020,3/5/2026,41.6,P1,3,ZMB,Zambia,Central Province,ZMB01
C000039,W06114,ORG0228,4/23/2024,4618.12,5222.42,4586.84,Permanent,Chauffeur,Technician,Accountants,2411,2/21/2019,6/22/2024,36.9,P2,27,ZMB,Zambia,Eastern Province,ZMB02
C000040,W00589,ORG0282,8/27/2024,4533.3,5367.15,5237.03,Open-term,Comptable,Analyst,Accountants,2421,11/8/2022,1/29/2025,43.3,G6,12,ZMB,Zambia,Northern Province,ZMB01
C000041,W09897,ORG0364,2/24/2023,4418.19,5605.08,5102.89,Permanent,Technicien,Technician,Engineers,2411,6/11/2020,12/1/2027,39.9,P1,8,ZMB,Zambia,Lusaka Province,ZMB05
C000042,W03972,ORG0316,8/16/2024,3096.43,5397.94,4140.74,Permanent,Ingenieur,Driver,Drivers,3115,9/6/2021,4/13/2025,38.7,G5,6,ZMB,Zambia,Central Province,ZMB03
C000043,W00838,ORG0369,10/10/2023,4407.92,5619.24,5022.62,Permanent,Comptable,Accountant,Drivers,8322,6/23/2016,12/11/2027,36.9,G5,6,ZMB,Zambia,Central Province,ZMB04
C000044,W02625,ORG0376,11/30/2023,3176.07,4985.13,3729.85,Open-term,Technicien,Engineer,Analysts,2141,9/15/2022,1/22/2027,37.1,P1,20,ZMB,Zambia,Western Province,ZMB03
C000045,W04940,ORG0157,12/6/2023,3125.85,4858.34,4858.34,Permanent,Analyste,Driver,Analysts,3115,3/21/2018,7/10/2024,43.6,G7,19,ZMB,Zambia,Western Province,ZMB05
C000046,W01443,ORG0365,7/4/2024,3039.51,6418.88,4509.97,Open-term,Analyste,Accountant,Analysts,2141,11/23/2019,10/28/2027,29,G8,24,ZMB,Zambia,Northern Province,ZMB03
C000047,W09019,ORG0415,9/11/2023,3863.85,6200.36,4804.97,Open-term,Comptable,Engineer,Engineers,2141,8/22/2015,12/24/2028,42.6,P1,24,ZMB,Zambia,Lusaka Province,ZMB03
C000048,W09611,ORG0074,4/17/2023,4170,5990.52,4460.22,Permanent,Comptable,Driver,Analysts,2141,5/12/2023,2/23/2025,44,G6,13,ZMB,Zambia,Northern Province,ZMB01
C000049,W06629,ORG0345,4/9/2023,4944.21,5018.82,4596.68,Permanent,Comptable,Engineer,Accountants,3115,10/16/2015,4/18/2027,45.3,P2,13,ZMB,Zambia,Central Province,ZMB05
C000050,W07148,ORG0221,4/25/2023,5980.09,5980.09,4389.37,Short-term,Analyste,Analyst,Analysts,3115,6/25/2015,8/24/2025,40.8,G8,14,ZMB,Zambia,Western Province,ZMB04
C000051,W04508,ORG0452,9/27/2023,3136.39,5726.84,3986.99,Permanent,Comptable,Engineer,Engineers,2141,11/8/2019,5/15/2027,35.8,G8,26,ZMB,Zambia,Lusaka Province,ZMB03
C000052,W09982,ORG0249,6/1/2024,4491.54,4745.83,3596.15,Permanent,Ingenieur,Driver,Technicians,2411,11/25/2022,11/6/2024,36.8,G5,20,ZMB,Zambia,Central Province,ZMB01
